Currency,Exchange Rate,Updated Time
USD,1,2024/12/11 08:02
AED,3.6725,2024/12/11 08:02
AFN,68.89002,2024/12/11 08:02
ALL,93.234539,2024/12/11 08:02
AMD,395.233482,2024/12/11 08:02
ANG,1.79,2024/12/11 08:02
AOA,922.97952,2024/12/11 08:02
ARS,1017.25,2024/12/11 08:02
AUD,1.566312,2024/12/11 08:02
AWG,1.79,2024/12/11 08:02
AZN,1.700175,2024/12/11 08:02
BAM,1.857409,2024/12/11 08:02
BBD,2,2024/12/11 08:02
BDT,119.539023,2024/12/11 08:02
BGN,1.857464,2024/12/11 08:02
BHD,0.376,2024/12/11 08:02
BIF,2932.517424,2024/12/11 08:02
BMD,1,2024/12/11 08:02
BND,1.341035,2024/12/11 08:02
BOB,6.928049,2024/12/11 08:02
BRL,6.055596,2024/12/11 08:02
BSD,1,2024/12/11 08:02
BTN,84.91849,2024/12/11 08:02
BWP,13.588152,2024/12/11 08:02
BYN,3.334062,2024/12/11 08:02
BZD,2,2024/12/11 08:02
CAD,1.416867,2024/12/11 08:02
CDF,2855.138789,2024/12/11 08:02
CHF,0.881718,2024/12/11 08:02
CLP,969.244885,2024/12/11 08:02
CNY,7.256005,2024/12/11 08:02
COP,4402.862454,2024/12/11 08:02
CRC,504.565295,2024/12/11 08:02
CUP,24,2024/12/11 08:02
CVE,104.716248,2024/12/11 08:02
CZK,23.833058,2024/12/11 08:02
DJF,177.721,2024/12/11 08:02
DKK,7.083942,2024/12/11 08:02
DOP,60.607076,2024/12/11 08:02
DZD,133.484863,2024/12/11 08:02
EGP,50.460334,2024/12/11 08:02
ERN,15,2024/12/11 08:02
ETB,124.292463,2024/12/11 08:02
EUR,0.94968,2024/12/11 08:02
FJD,2.303785,2024/12/11 08:02
FKP,0.783327,2024/12/11 08:02
FOK,7.083899,2024/12/11 08:02
GBP,0.783328,2024/12/11 08:02
GEL,2.788725,2024/12/11 08:02
GGP,0.783327,2024/12/11 08:02
GHS,14.754468,2024/12/11 08:02
GIP,0.783327,2024/12/11 08:02
GMD,72.459668,2024/12/11 08:02
GNF,8585.825513,2024/12/11 08:02
GTQ,7.711523,2024/12/11 08:02
GYD,209.225797,2024/12/11 08:02
HKD,7.775284,2024/12/11 08:02
HNL,25.353921,2024/12/11 08:02
HRK,7.155349,2024/12/11 08:02
HTG,130.982247,2024/12/11 08:02
HUF,389.911166,2024/12/11 08:02
IDR,15889.42431,2024/12/11 08:02
ILS,3.582811,2024/12/11 08:02
IMP,0.783327,2024/12/11 08:02
INR,84.918569,2024/12/11 08:02
IQD,1312.54269,2024/12/11 08:02
IRR,42005.35321,2024/12/11 08:02
ISK,138.643548,2024/12/11 08:02
JEP,0.783327,2024/12/11 08:02
JMD,156.963635,2024/12/11 08:02
JOD,0.709,2024/12/11 08:02
JPY,151.77563,2024/12/11 08:02
KES,129.295415,2024/12/11 08:02
KGS,86.69019,2024/12/11 08:02
KHR,4041.166553,2024/12/11 08:02
KID,1.566309,2024/12/11 08:02
KMF,467.210965,2024/12/11 08:02
KRW,1433.12389,2024/12/11 08:02
KWD,0.307537,2024/12/11 08:02
KYD,0.833333,2024/12/11 08:02
KZT,510.814253,2024/12/11 08:02
LAK,21948.57464,2024/12/11 08:02
LBP,89500,2024/12/11 08:02
LKR,290.190973,2024/12/11 08:02
LRD,179.429265,2024/12/11 08:02
LSL,17.827425,2024/12/11 08:02
LYD,4.876251,2024/12/11 08:02
MAD,10.004899,2024/12/11 08:02
MDL,18.325827,2024/12/11 08:02
MGA,4704.364115,2024/12/11 08:02
MKD,58.208354,2024/12/11 08:02
MMK,2101.714248,2024/12/11 08:02
MNT,3417.071624,2024/12/11 08:02
MOP,8.008543,2024/12/11 08:02
MRU,39.837944,2024/12/11 08:02
MUR,46.44306,2024/12/11 08:02
MVR,15.452469,2024/12/11 08:02
MWK,1744.073409,2024/12/11 08:02
MXN,20.174378,2024/12/11 08:02
MYR,4.427691,2024/12/11 08:02
MZN,63.975752,2024/12/11 08:02
NAD,17.827425,2024/12/11 08:02
NGN,1529.454163,2024/12/11 08:02
NIO,36.820083,2024/12/11 08:02
NOK,11.146334,2024/12/11 08:02
NPR,135.869584,2024/12/11 08:02
NZD,1.722076,2024/12/11 08:02
OMR,0.384497,2024/12/11 08:02
PAB,1,2024/12/11 08:02
PEN,3.729461,2024/12/11 08:02
PGK,3.997893,2024/12/11 08:02
PHP,58.067599,2024/12/11 08:02
PKR,277.706938,2024/12/11 08:02
PLN,4.045525,2024/12/11 08:02
PYG,7853.997746,2024/12/11 08:02
QAR,3.64,2024/12/11 08:02
RON,4.721175,2024/12/11 08:02
RSD,111.209408,2024/12/11 08:02
RUB,102.126518,2024/12/11 08:02
RWF,1386.804306,2024/12/11 08:02
SAR,3.75,2024/12/11 08:02
SBD,8.347148,2024/12/11 08:02
SCR,13.780118,2024/12/11 08:02
SDG,449.475539,2024/12/11 08:02
SEK,10.965848,2024/12/11 08:02
SGD,1.34121,2024/12/11 08:02
SHP,0.783327,2024/12/11 08:02
SLE,22.72591,2024/12/11 08:02
SLL,22725.91026,2024/12/11 08:02
SOS,571.955069,2024/12/11 08:02
SRD,35.617198,2024/12/11 08:02
SSP,3799.157349,2024/12/11 08:02
STN,23.267112,2024/12/11 08:02
SYP,12898.21578,2024/12/11 08:02
SZL,17.827425,2024/12/11 08:02
THB,33.762268,2024/12/11 08:02
TJS,10.739232,2024/12/11 08:02
TMT,3.499989,2024/12/11 08:02
TND,3.153391,2024/12/11 08:02
TOP,2.351168,2024/12/11 08:02
TRY,34.863432,2024/12/11 08:02
TTD,6.765346,2024/12/11 08:02
TVD,1.566309,2024/12/11 08:02
TWD,32.50048,2024/12/11 08:02
TZS,2590.341785,2024/12/11 08:02
UAH,41.67724,2024/12/11 08:02
UGX,3659.478823,2024/12/11 08:02
UYU,43.554193,2024/12/11 08:02
UZS,12829.63105,2024/12/11 08:02
VES,49.1111,2024/12/11 08:02
VND,25363.42853,2024/12/11 08:02
VUV,121.559022,2024/12/11 08:02
WST,2.778669,2024/12/11 08:02
XAF,622.947953,2024/12/11 08:02
XCD,2.7,2024/12/11 08:02
XDR,0.760963,2024/12/11 08:02
XOF,622.947953,2024/12/11 08:02
XPF,113.326979,2024/12/11 08:02
YER,249.828702,2024/12/11 08:02
ZAR,17.827454,2024/12/11 08:02
ZMW,27.528785,2024/12/11 08:02
ZWL,25.6597,2024/12/11 08:02
